from,to,value
HukumDan,SugiKawuloAlit,1
Sanjaya01158098,mediaindonesia,1
Rossali24295306,Rossali24295306,3
Rossali24295306,SitiPatimahAja,1
MarthaAprilia20,Rossali24295306,1
AnitaRosliana1,Rossali24295306,1
hendra_sapera,ilyiebedich,1
AQL20202,Rossali24295306,1
ASamroji,Mukidioon2,1
kr1t1kp3d45_pro,rinihadiwardoyo,1
NarasiNewsroom,NarasiNewsroom,1
DivHumas_Polri,MargaSinaga,1
Ariefmantoi,OposisiCerdas,1
Siinchannn,raldygh_,1
Yulia_NS79,arief_kreen,1
Faqih7777745,kemalpalevi,1
ASamroji,kr1t1kp3d45_pro,1
TIIndonesia,TIIndonesia,2
JenderalTaik,__anomali__,1
ence_dwi,rffqi,1
Febree17_,konoha2022,1
LuNaEndelia,imam_ghifaryy,1
Jhn_____s,hariady__,1
OposisiCerdas,gito_729,1
Balieska1,MaliyaYana1,1
Jhn_____s,al_ilo,1
Herman03575306,achinagra,1
pramudo,pramudo,1
Askrlfess,PutriSalju_03,1
HariantoHari15,Stevaniehuangg,1
ASyahrochman,KompasTV,1
ASyahrochman,CNNIndonesia,1
4Y4NKZ,fendyarmo,1
CNNIndonesia,Maladi1Danis,1
samodner,samodner,1
detikcom,rickyrick1985,1
_amareguzel,_amareguzel,1
kumparan,kumparan,1
sukeeeyooo,ucupstyles,1
pius_sinaga,wong_ndeso579,1
bosniangiovanni,qalsrama,1
infinitys88,wanti_lee,1
jpnncom,jpnncom,1
Galois_Gen,MNW_MNW_MNW,1
tvOneNews,yulilie605,1
Neng_Anyar,Neng_Anyar,2
txtdrberseragam,xloveyouul,1
BedidinQ,Ernaku6,1
detikcom,luthfy_wp,1
HarisRuslyMoti,HarisRuslyMoti,1
blackwafferroll,catchmeupid,1
1febri,RamliRizal,1
BatuKepla,knpiharis,2
Semut_Ibrahim_,Stevaniehuangg,1
kumparan,udatauhid,1
hrdbacot,jackjackparrr,1
AndreyZhirley,cursedkidd,1
Binsaragih1,detikcom,1
Blubukb89,zoelfick,1
Yenithung1,tvOneNews,1
Rm_lndr4one4587,Wandystjk,1
alfamart,barackodin,1
cagubnyinyir2,marpaung913,1
rahabganendra,salsaaii,1
cagubnyinyir2,supari_yanto,1
IbnuSholh,Stevaniehuangg,1
Fraksi_Gerindra,Fraksi_Gerindra,1
_thinkplus,detikcom,1
Miduk17,Miduk17,3
gagitubens,na_DiemAjja,1
Faishalakbarrr,txtfrombrand,1
Tetty082376,adekdohyon,1
Faishalakbarrr,halleluhellyeah,1
Jinjit_jinjit,cah__ndeso77,1
Cintada16,MailRahmat,1
ListyoSigitP,Ummu_CantiQ,1
Stevaniehuangg,abdillah79791,1
AhyariIda,CNNIndonesia,1
4Y4NKZ,Kingdarius102,1
Adus_solihin,Stevaniehuangg,1
HajiTileee,detikcom,1
jogermeist,senopati_pm,1
__o000BlockL0c,__o000BlockL0c,2
desa_kaligondo,yahyanwari,1
Anazh4,alfamart,1
MBSasli,txtdrberseragam,1
GoyaJikko,sinagano2,1
GoyaJikko,IndonesiaFaried,1
hutauruk_alex,tvOneNews,1
geloraco,wisnuputro07,1
AbdullohBaihaqy,jogermeist,1
jose_asep,jose_asep,1
jogermeist,keuangannews_id,1
FirdausyMuh,Rizmaya__,1
apathoni,jogermeist,1
detikcom,rytsarkiy_pika,1
ASamroji,ZulkifliLubis69,1
aLy_Bima,omarmoyo963,1
geloraco,marpaung913,1
Ferdysambo1,musniumar,2
SugiKawuloAlit,lelakimusaja,1
KompasTV,KompasTV,1
Elfauzi66689349,geloraco,1
korantempo,korantempo,1
Fiayellowluv18,mikah0702,1
darmantompul,darmantompul,1
gogiism,marinealmira,1
Ferdysambo1,democrazymedia,1
Ferdysambo1,yaniarsim,1
Ferdysambo1,PepenKurniawan,1
Ferdysambo1,kangmalik45,1
irsanardiyan,txtfrombrand,1
Prasetyo9Hh,Roses94735777,1
PanahRaya,Prasetyo9Hh,1
CocotBajol,hellodeka,1
JCoitu,dyta0303,1
Ferdysambo1,tvOneNews,1
ketutdarmika10,ruhutsitompul,1
HWalterjr,democrazymedia,1
PramitaPangestu,bintangemon,1
ch0corigin4l,convomfs,1
Rizmaya__,mucini48,1
VIVAcoid,gusti_prabu2810,1
Mjohnsamosir,tvOneNews,1
HIrvansyah,knpiharis,1
Mjohnsamosir,Rizmaya__,1
CNNIndonesia,GustyFierman,1
Rawit234234,SSudiharjo,1
FWBESS,sevnosans,1
elditweet,tvOneNews,1
SAKHAMICHI,korantempo,1
detikcom,monasammy,1
ngomongapaaja78,tvOneNews,1
Ibnxine,__SudutPandang,1
democrazymedia,donyardi13,1
Abdillahbela,morningwoodist,1
Fusianto,resolusi1000,1
boyke_bond_Jr,detikcom,1
rajaihuta,tvOneNews,1
askDika,mbkelana,1
Fusianto,detikcom,1
Zaindamai,detikcom,1
SamboFerdy,detikcom,2
richard_whn,tvOneNews,1
Alfatih_V,Alfatih_V,2
KEGELAP4N,yaoirouge,1
Trisnan76523395,democrazymedia,1
Mukidioon2,SurvivalBelera1,1
moesa_jp02,moesa_jp02,1
IbnuNasir8,jayapuraupdate,1
Abah_dink,wasssup_ay,1
Msbrow8,dindinrasdi,1
Jonsontonga,Ruslam242,1
agelmeip,slfnzr,1
literasi_k,tvOneNews,1
OnelRamadani,OposisiCerdas,1
Mangachuy,NalarLogic,1
KompasTV,PiusSinurat,1
hipohan,spillproduk,1
Dorraemon_,Ruwahel,1
MadesonWatts,lmonart_,1
OposisiCerdas,SarwediEdi6,1
SonoraFM92,SonoraFM92,1
txtdrberseragam,wibijavachip,1
W217286065,imriatitriyanto,1
SNauvill,zoelfick,1
malakmalakmal,wahabi92013848,1
Ruslam242,rherma2000,1
Fahrihamzah,MahdinJr1,1
malakmalakmal,pancimandemokrt,1
SiapaAk13719019,detikcom,1
KompasTV,jgzepp,1
fullmoonfolks,hutauruk_alex,1
BagusDaboel69,lordoflots,1
Prasetyo9Hh,caul_tanjung,1
hardye76,sudadmono,1
alphonselaporte,dediarifch,1
A9niniBaengdeta,A9niniBaengdeta,1
kemitris,myrazra,1
Rizmaya__,fegarif,1
Wingky21439027,Wingky21439027,1
imotone,voidotid,1
fnf____,indocringe_,1
Ruslam242,ayahValent,1
ACHMADR89870336,Msbrow8,1
SugiKawuloAlit,UyokBack,1
narendraasha_,raflesls,1
ant7_Phoong,ruhutsitompul,1
Askrlfess,wonpealates,1
adhy_gra,voidotid,1
democrazymedia,elditweet,1
Riris_adnanArmy,ceritatehfidy,1
Rizmaya__,SalimHa88650732,1
LalaWiana,Srikandi_sunda,1
KompasTV,MutiaraSendhyR,1
cobeh2021,xifenghoetang,1
anbusiber,inilahdotcom,1
CrushHopeless1,cybsquad_,1
roygromiko,tvOneNews,1
RatuBuay,Yulia_NS79,1
CNNIndonesia,kemitris,1
YovieDjody18,knpiharis,1
IRistopo,detikcom,3
Adrian_HeriF,Adrian_HeriF,1
auraa1996,refalhady,1
hindseee,wahilangotak,1
jaecap7l5,oxhaewon,1
cybsquad_,dedirahimuddin,1
liputan6dotcom,marpaung913,1
marpaung913,mediaindonesia,1
ArdinalRais,ArdinalRais,1
antaranews,marpaung913,1
ainurohman,lovebylibra,1
sebelasribuT,thepatriot2019,1
ahmad_silaa,msaid_didu,1
Rizmaya__,marpaung913,1
harutotify,ssefnum,1
Dennysiregar7,GhufranDjeri,1
SammiSoh,SammiSoh,1
RichardVanGobe1,_ekokuntadhi,1
badrus445544,detikcom,1
Srikandi_sunda,Srikandi_sunda,4
inoceandsy,kdrama_menfess,1
Nugroholobster,OposisiCerdas,2
Trian148,fauziislan,1
alfi_ummuAyyash,msaid_didu,1
ispeispeanjime,naabilabdun,1
kindsunbear,txtdarigajelas,1
hellodeka,mashay____,1
indocringe_,yaelahyann_,1
O_Ojeaavie,convomfs,1
Askrlfess,RakyatKetjil_12,1
RakyatKetjil_12,hourlysappy,1
ZAEffendy,ZAEffendy,1
AnasUbaidilla11,AnasUbaidilla11,1
prastyo_adhika,voidotid,1
MerdekaRakyan,MerdekaRakyan,1
CNNIndonesia,dodol53235469,1
hellodeka,mojokdotco,1
Mi73Hel,tvOneNews,1
ollycta,tanyakanrl,1
ainurohman,anggi_ahmad,1
ainurohman,fendikafirza,1
GhibranAkbar1,keuangannews_id,1
Msbrow8,rgbzrzm,1
Ruslam242,WulungMas,1
GunRomli,aldy_dabuan,1
gberrboy_id,gberrboy_id,3
detikcom,zaharoh3,1
pedragim,tvOneNews,1
SugiKawuloAlit,tvOneNews,1
EdwardTobing18,Prasetyo9Hh,1
IRistopo,txtdrberseragam,1
CNNIndonesia,_van_nistelRoy,1
rauwrus,tanyakanrl,1
RYUQJlN,hawrvto,2
27_dalbo,Kita_Minahasa,1
__SudutPandang,hipohan,1
WARKOPMOVEON,dabenone2,1
29ariko,GunRomli,1
Msbrow8,mwar_007,1
detikcom,dino_qs1,1
Jonbonjoni2,elleanor12,1
ainurohman,vixhd,1
Bakariady,voidotid,1
bintngkelap,tanyakanrl,1
UNSfess_,flooxzx,1
HILARlO,collegemenfess,1
banjarbase,msruni_,1
Asheyyylme_,samyangkejuuuu,1
DivHumas_Polri,Firman_Syah_Kun,1
cak_an6,uzair150378,1
216juta,mulccibear,1
Jokotengger,Stevi0812,1
SugiKawuloAlit,idntimes,1
jejeafganp,txtdrberseragam,1
hutauruk_alex,txtdrberseragam,1
OposisiCerdas,dino_qs1,1
DartieDartie1,ferry_kdg,1
Anazh4,CNNIndonesia,1
OposisiCerdas,siliaadi,1
MontBlanc3l3l,Sangkuriang5551,10
ShamsiAli2,dino_qs1,1
SugiKawuloAlit,detikcom,2
Muhidiin20,Ruslam242,1
AnakLokal_24,knpiharis,1
AngKarakNarako,damnoise,1
Ameliadhenok,MontBlanc3l3l,1
29ariko,_ekokuntadhi,1
BERKARYA_NET,BERKARYA_NET,1
faridharsono,txtdrberseragam,1
aangismail,cedricbuldan,1
muhandremahadie,muhandremahadie,1
AngKarakNarako,jsscaprmrth,1
OposisiCerdas,pakguruhonorer,1
dragonb21395797,dragonb21395797,15
theIawless,txtdrberseragam,1
Prasetyo9Hh,qalsrama,1
6undul0h,ahmad_silaa,1
djumelan,kumparanplus,1
jembermfs,letia_mutiarani,1
ZamanTiga,geloraco,1
DwiLest15844745,lateststory4,1
_19handes,iputu_ananda,3
AlfaWijayanto,SarahRa64027945,1
newestindo,newestindo,1
ldr_aaa,terkesimaaa,1
sirajapadoha,sirajapadoha,1
Antonius061,Bsuworo,1
Iki_JazzCafe,Tuti_embeeeeer,1
NataliusPigai2,ahmad_silaa,1
CNNIndonesia,btwbdg,1
KaredokLeunca__,Rockgar12,1
Yahyapwt,collegemenfess,1
LutfiAdrian213,amirsyahoke,1
KompasTV,qies_porentay,1
btwbdg,detikcom,1
alextham878,alleshutapea,1
OposisiCerdas,rusdiantobr,1
MohamadChori,MohamadChori,4
SastrawanBukan1,tempodotco,1
firdausfasya1,z4r4n,1
Klik_MediaNet,kr1t1kp3d45_pro,1
DivHumas_Polri,erickemal,1
AgungSu76387898,Prasetyo9Hh,1
BryokAceh,hipohan,1
Prasetyo9Hh,keuangannews_id,1
borataetaehyung,tkoozz,1
persada_ub,persada_ub,2
eldlich69,fahleviii73,1
CutSarina5,mutajir_mohamat,1
Syawalu39205702,z4r4n,1
Tan_Mar3M,Yurissa_Samosir,1
IiiZahrah,IiiZahrah,2
Nurri20173543,geloraco,1
IRistopo,geloraco,1
Mjohnsamosir,alextham878,1
BungaDesakuRose,cybsquad_,1
hipohan,riani_tanjung24,1
janggan_EC,voidotid,1
ken_aryadharma,txtanakbioskop,1
conan_idn,erfinsyafrizal3,1
ganafmargi,satriadjenar,4
DivHumas_Polri,agis_official,1
detikcom,marpaung913,1
bagjoz,vidialdiano,1
cak_ipho,cobeh2021,1
DDaewokas,yashadipura,1
GhibranAkbar1,knpiharis,1
MahdinJr1,SHidayatt13,1
RasyidBarabai,selenayy___,1
OposisiCerdas,ant7_Phoong,1
polisipatung,polisipatung,1
FerdinandHutah4,Penjejakbumi01,1
DrsRayendra,Purwaraka1,1
republikaonline,thepatriot2019,1
DefUncle,DivHumas_Polri,1
KompasTV,Syahrul99073379,1
JemmyYoseph,keuangannews_id,1
marpaung913,marpaung913,1
CecepLagi,Miss_warawiri,1
DwiYatmo14,JafYaya2150,1
JemmyYoseph,ainurohman,1
CNNIndonesia,SamboFerdy,1
SamboFerdy,cybsquad_,2
Doni13587681,SamboFerdy,1
GhibranAkbar1,Subur0204,1
DivHumas_Polri,bangajee,1
Ferdysambo1,abu_waras,1
n0vemberman2,n0vemberman2,1
DivHumas_Polri,galihckanigoro,1
Gulz94410068,alicha912,1
azkafii,bgsnhdi,1
IkikYps,MKZxRoel,1
IsyriaFadilahh,RiskiSitiFatim1,1
bedesauhatisaya,esgrim_aice,1
HasbadjaRashid,tvOneNews,1
DivHumas_Polri,MSyaifu05679244,1
AREAJULID,kamja_giya,1
bocahpagi,rlgxg,1
DivHumas_Polri,MsFirdaus5,1
SamboFerdy,mohmahfudmd,1
den_fatahh,voidotid,1
rismawy,tvindonesiawkwk,1
husin12_tweet,okezonenews,1
galangmi,obyrosadi_,1
7676Die,Dennysiregar7,1
KompasTV,Pasrantobolo,1
Pasrantobolo,alvinlie21,1
AbdulRa83376539,OposisiCerdas,1
Badboy06864860,KompasTV,1
DivHumas_Polri,diponegros,1
ak03l,tvOneNews,1
SamboFerdy,restyca_yah,1
Opiet_H,z4r4n,1
HasbadjaRashid,abu_waras,1
OposisiCerdas,sby_tri,1
KompasTV,Nurhasanputra1,1
amelRF,pusingyorobun,1
BlokirNET,BlokirNET,2
pxndv14th,twaaap_,1
sebatsampoerna,taniagrahanitaa,1
Anna81691219,Dennysiregar7,1
BglZigen,MediaKomando,1
DivHumas_Polri,walpurg1snight,1
asaajaaaa,aulmaulidiana,1
KompasTV,pembela230,1
ArabBara2,ade_item88,1
Ruslam242,geloraco,1
ilyujjk,snihyamitvayi,1
NOTASLIMBOY,dodol53235469,1
SoebektiSoehar8,SoebektiSoehar8,1
idextratime,pendukungcelsi,1
Abiburu,geloraco,1
ListyoSigitP,NanoNan05594640,1
rlgxg,user01010100011,1
SlebewTweet,ffarliani,1
Affan79992133,marpaung913,1
AnasArifyn,KompasTV,1
bejonovski,kr1t1kp3d45_pro,1
MaiL2SinggiiT,Mei2Namaku,1
KawasanMadridi1,idextratime,1
AndryFadhil,Farelfausta12,2
PamanBlacks,clairvoyant_cl,1
aulmaulidiana,xyambar,1
Busuk18,tvOneNews,1
ChusnulCh__,mrobama99,1
KompasTV,alleshutapea,1
DivHumas_Polri,_ins_ane_,1
MontanaMichel,blackcrow0717,1
Miduk17,anisagustina2,1
PenikmatHibura2,nchlstndrew,1
harypanji_p,yuen23077513,1
Rawit234234,mangunsong63,1
AnasisFeri,Ganti2Nama,1
Nissakti,Nissakti,2
AyahSyafar,hipohan,1
HjAiSuryani1,geloraco,1
ainurohman,makanansehati,1
AllForO92306218,zarazettirazr,1
Herwinwijaya13,jerangkah,1
acaicaxzon,tanyakanrl,1
MUHAJIR28323130,tvOneNews,1
ErwinSh30857524,ruhutsitompul,1
Beritasatu,HbHendro,1
OposisiCerdas,sala_richard,1
kaninaacg,kentangmbaon,1
Ariefmantoi,DivHumas_Polri,1
SammiSoh,marpaung913,1
Askrlfess,_tauriii,1
achmaddd____,userfelicee,1
JEMBUTBERSUMPAH,mureza522,1
Syarman59,marpaung913,1
Usuludin321,dabenone2,1
KPK_RI,sayids,1
vedricopane,vedricopane,1
abu_waras,dzulkifli_dzavu,1
abu_waras,oposisiAJEdeh,1
HotelBrongto,marpaung913,1
MuhTaufikRahmat,bacautas,1
AAldhiaz,CNNIndonesia,1
chubbynanaa,noonadoongies,1
akok_soetrisno,kr1t1kp3d45_pro,1
DanteSpeak_USA_,DanteSpeak_USA_,1
Purwant85425031,tvOneNews,1
DivHumas_Polri,Sapriad19222413,1
democrazymedia,firmanashad08,1
Drxebec,JcoIndonesia,1
failedword,habri_fahmi,1
DeepestMyHeart,ptp_dandhy,1
dezinfectant,jigrek,2
Dandhy_Laksono,zuhrilamin,1
IiiZahrah,restyca_yah,1
garisbesarsunda,tvOneNews,2
IiiZahrah,KompasTV,1
KompasTV,garisbesarsunda,4
Cryptox666,cokro_tv,1
ASamroji,SSudiharjo,1
happiyer_,happiyer_,1
MSyaifu05679244,knpiharis,1
SumediTanjung,tvOneNews,1
MSyaifu05679244,bachrum_achmadi,1
DivHumas_Polri,MalutSua,1
WakUban15,cobeh2021,1
ListyoSigitP,MazhuriB,1
Andika74522181,Dennysiregar7,1
DivHumas_Polri,echoPiR,1
devaryokal,radenrauf,1
AREAJULID,nmrdlraa,1
KompasTV,fauziislan,1
ZulkifliLubis69,arreneuz_s,1
CNNIndonesia,wiliwililoveyu,1
KompasTV,KrisalviJosanta,1
DivHumas_Polri,bambang42652819,1
ice77565040,joelian_stc175,1
BenLoew21,DivHumas_Polri,1
ASamroji,ASamroji,1
jefsiboro,jefsiboro,1
siticeriaselalu,siticeriaselalu,1
SoniUwong,cybsquad_,1
OposisiCerdas,muchsin9,1
Dimasjoko12,Miduk17,1
Wahyufranky1,iibun_,1
TargetSuspend_,WalidiPrawira,1
KompasTV,nitha_bj,1
angilblackrose,msaid_didu,1
BERKARYA_NET,Dawgs000,1
AqseJuga,djumelan,1
Cak_M4t,mfatahilahakbar,1
Doi_3M,Doi_3M,1
AkbarWasito,reckysyah,1
akundewa77,akundewa77,1
Ghurem2,imsitumeang,1
agusardina,harry_gde,1
TitipanIllahi44,TitipanIllahi44,1
Ithonky1,VIVAcoid,1
CNNIndonesia,Sudimawan1,1
_selebtwiter,saifulh33219358,1
Jarwo99661180,NogoSosroAsli,1
CNNIndonesia,CaplinRevolusi,2
kartarahardja,ntwidodo,1
PanciB0zz,Pejuangkarya11,1
Pejuangkarya11,ainurohman,1
TPontohj,iriawan84,1
poskotaofficial,poskotaofficial,2
Ameliadhenok,Ronycawang,1
AqseJuga,Ariefmantoi,1
yseenzz,zayanaams,1
Mjohnsamosir,NyaiiBubu,1
Semar17134178,tvOneNews,1
AloysiusAS,AloysiusAS,1
Neng_Anyar,is_pelssy,1
Askrlfess,garisbesarsunda,1
CRS_9,ObiWan_Catnobi,1
KompasTV,Milia_robort,1
ArifudinNur71,MrsRachelIn,1
garisbesarsunda,txtdrberseragam,1
FalsSuara,OposisiCerdas,1
Rakeyansunda,gibran_tweet,1
adekmht,sucidestya6,1
VIVAcoid,dablor24,1
jumianto_RK,ocongBoyy,1
aduduhaii,aduduhaii,1
AgamKupie,AlionelMessi_,1
Kacaback678910,dzulkifli_dzavu,1
AgamKupie,H1m4_W4r1,1
AgamKupie,Miduk17,1
FrediHadikusuma,erickthohir,1
momsKejoraSoon,sekterahimanget,1
Herwinwijaya13,realmadridindo1,1
M45Broo_,Rawit234234,1
Mdy_Asmara1701,Semar17134178,1
Rawit234234,tijabar,1
brammuara82,caul_tanjung,1
bacautas,beautydyah,1
Nurfatm47285223,fariedza,1
detikcom,selenayy___,1
SUNDA_FESS,tijashn,1
CNNIndonesia,NasibulU,1
edi_muchlis,geloraco,1
Ardiiansh,mirzakadir7,1
Theking3231Juan,Theking3231Juan,2
Andrean43982093,geloraco,1
Budi_2232,ide2nesia,1
AAldhiaz,detikcom,1
Mdy_Asmara1701,dzulkifli_dzavu,1
DwiYatmo14,Mose91831634,1
